,hart
7392,1389
7393,1691
7394,2243
7395,2370
7396,2268
7397,2800
7398,3094
7399,2991
7400,3008
7401,2933
7402,2903
7403,2779
7404,2743
7405,2698
7406,2585
7407,2630
7408,2760
7409,2680
7410,2563
7411,2433
7412,2413
7413,2221
7414,1894
7415,1747
7416,1557
7417,1116
7418,534
7419,-415
7420,-1808
7421,-3154
7422,-4597
7423,-6190
7424,-7225
7425,-8261
7426,-9279
7427,-9840
7428,-10275
7429,-10436
7430,-10481
7431,-10395
7432,-10012
7433,-9413
7434,-8378
7435,-7243
7436,-5713
7437,-3957
7438,-2520
7439,-944
7440,416
7441,1728
7442,2916
7443,3635
7444,4329
7445,4927
7446,5231
7447,5733
7448,5956
7449,5973
7450,5973
7451,5952
7452,5862
7453,5633
7454,5651
7455,5493
7456,5402
7457,5335
7458,5120
7459,5017
7460,4638
7461,4238
7462,4262
7463,3811
7464,3369
7465,3069
7466,2497
7467,1908
7468,1277
7469,838
7470,458
7471,5
7472,-208
7473,-407
7474,-495
7475,-101
7476,76
7477,114
7478,106
7479,-57
7480,-194
7481,-627
7482,-1015
7483,-1109
7484,-1380
7485,-1619
7486,-1715
7487,-1839
7488,-2085
7489,-2291
7490,-2456
7491,-2550
7492,-2389
7493,-2155
7494,-1308
7495,-357
7496,-688
7497,-1735
7498,-2735
7499,-3592
7500,-4214
7501,-4610
7502,-4979
7503,-5519
7504,-6262
7505,-6879
7506,-7025
7507,-6675
7508,-5964
7509,-5220
7510,-4497
7511,-3912
7512,-3352
7513,-2488
7514,-1356
7515,-282
7516,761
7517,1775
7518,2359
7519,2563
7520,2586
7521,2525
7522,2751
7523,2976
7524,2291
7525,839
7526,-1005
7527,-1421
7528,-674
7529,-1091
7530,-2887
7531,-5012
7532,-5182
7533,-2773
7534,-389
7535,428
7536,-156
7537,-981
7538,-781
7539,456
7540,1710
7541,2414
7542,2845
7543,2439
7544,1907
7545,1957
7546,2236
7547,2786
7548,2579
7549,1655
7550,573
7551,-653
7552,-1126
7553,-788
7554,-157
7555,321
7556,300
7557,150
7558,86
7559,150
7560,714
7561,1364
7562,1804
7563,2049
7564,2019
7565,1921
7566,2077
7567,2576
7568,3045
7569,3459
7570,3425
7571,2903
7572,2698
7573,2192
7574,1789
7575,1946
7576,1674
7577,1528
7578,1184
7579,911
7580,965
7581,835
7582,1177
7583,1432
7584,1352
7585,1456
7586,1531
7587,1439
7588,1622
7589,1810
7590,1833
7591,1928
7592,1685
7593,1401
7594,1562
7595,1469
7596,1290
7597,1519
7598,1641
7599,1499
7600,1180
7601,940
7602,955
7603,917
7604,970
7605,1155
7606,1213
7607,1226
7608,1213
7609,1173
7610,1029
7611,774
7612,643
7613,522
7614,383
7615,225
7616,8
7617,-31
7618,-112
7619,-216
7620,-613
7621,-1132
7622,-875
7623,-544
7624,-397
7625,-114
7626,77
7627,121
7628,-14
7629,-50
7630,-19
7631,-97
7632,-109
7633,-100
7634,-85
7635,-245
7636,-494
7637,-495
7638,-501
7639,-680
7640,-698
7641,-711
7642,-634
7643,-456
7644,-462
7645,-422
7646,-399
7647,-413
7648,-481
7649,-481
7650,-367
7651,-445
7652,-348
7653,-377
7654,-440
7655,-224
7656,-391
7657,-103
7658,273
7659,106
7660,109
7661,173
7662,-14
7663,-82
7664,108
7665,69
7666,172
7667,248
7668,54
7669,-27
7670,-89
7671,-152
7672,-128
7673,-156
7674,-111
7675,-73
7676,-73
7677,164
7678,433
7679,475
7680,271
7681,253
7682,143
7683,118
7684,314
7685,357
7686,493
7687,826
7688,888
7689,818
7690,960
7691,1096
7692,1092
7693,1011
7694,1014
7695,900
7696,677
7697,727
7698,690
7699,692
7700,821
7701,945
7702,1001
7703,889
7704,625
7705,635
7706,684
7707,437
7708,429
7709,406
7710,185
7711,114
7712,196
7713,106
7714,76
7715,118
7716,-47
7717,42
7718,120
7719,21
7720,-19
7721,-213
7722,-256
7723,-176
7724,-424
7725,-632
7726,-624
7727,-578
7728,-358
7729,-264
7730,-195
7731,-253
7732,-152
7733,-92
7734,-309
7735,-417
7736,-444
7737,-472
7738,-365
7739,-426
7740,-479
7741,-476
7742,-447
7743,-451
7744,-456
7745,-561
7746,-642
7747,-676
7748,-863
7749,-910
7750,-982
7751,-986
7752,-1089
7753,-1131
7754,-989
7755,-912
7756,-828
7757,-838
7758,-947
7759,-825
7760,-807
7761,-732
7762,-720
7763,-935
7764,-1046
7765,-1134
7766,-1187
7767,-1114
7768,-1129
7769,-1195
7770,-1145
7771,-1061
7772,-1009
7773,-1082
7774,-1149
7775,-1179
7776,-1273
7777,-1401
7778,-1590
7779,-1550
7780,-1558
7781,-1731
7782,-1690
7783,-1701
7784,-1573
7785,-1410
7786,-1342
7787,-977
7788,-702
7789,-550
7790,-311
7791,-288
7792,-69
7793,84
7794,39
7795,-78
7796,-92
7797,89
7798,-46
7799,-359
7800,-351
7801,-446
7802,-329
7803,-117
7804,-200
7805,-201
7806,17
7807,128
7808,187
7809,246
7810,145
7811,77
7812,53
7813,-84
7814,-223
7815,-371
7816,-435
7817,-561
7818,-533
7819,-481
7820,-622
7821,-644
7822,-727
7823,-864
7824,-755
7825,-850
7826,-1033
7827,-1086
7828,-1453
7829,-1717
7830,-1212
7831,-1073
7832,-1164
7833,-1265
7834,-1693
7835,-1785
7836,-1654
7837,-1459
7838,-1180
7839,-1284
7840,-1492
7841,-1197
7842,-1091
7843,-1231
7844,-942
7845,-1142
7846,-1882
7847,-437
7848,554
7849,-103
7850,-153
7851,-243
7852,-10
7853,462
7854,624
7855,654
7856,513
7857,720
7858,800
7859,787
7860,968
7861,1258
7862,1609
7863,1669
7864,1699
7865,1833
7866,1912
7867,2352
7868,2722
7869,2817
7870,2684
7871,2611
7872,2488
7873,2303
7874,2632
7875,2573
7876,2197
7877,2274
7878,2250
7879,2468
7880,2542
7881,2267
7882,2356
7883,2405
7884,2134
7885,2171
7886,2326
7887,2429
7888,2079
7889,1784
7890,2104
7891,1193
7892,752
7893,1571
7894,1571
7895,1345
7896,1094
7897,952
7898,1035
7899,795
7900,503
7901,726
7902,830
7903,518
7904,265
7905,71
7906,108
7907,-231
7908,-769
7909,-958
7910,-1554
7911,-1705
7912,-1461
7913,-1358
7914,-560
7915,14
7916,-498
7917,-381
7918,-63
7919,-495
7920,-173
7921,555
7922,592
7923,230
7924,843
7925,1411
7926,862
7927,703
7928,1448
7929,1340
7930,643
7931,555
7932,613
7933,745
7934,628
7935,367
7936,437
7937,458
7938,392
7939,143
7940,-143
7941,57
7942,84
7943,-556
7944,-310
7945,55
7946,-673
7947,-406
7948,169
7949,-196
7950,-317
7951,15
7952,340
7953,60
7954,-623
7955,-380
7956,-92
7957,-623
7958,-285
7959,62
7960,-99
7961,65
7962,-12
7963,-141
7964,-163
7965,-227
7966,-824
7967,-124
7968,952
7969,956
7970,1263
7971,1549
7972,1332
7973,518
7974,357
7975,1429
7976,1032
7977,461
7978,1038
7979,946
7980,746
7981,681
7982,622
7983,504
7984,236
7985,100
7986,356
7987,603
7988,212
7989,-145
7990,-189
7991,-354
7992,-547
7993,-470
7994,-341
7995,-329
7996,-627
7997,-813
7998,-837
7999,-904
8000,-651
8001,-391
8002,-702
8003,-842
8004,-416
8005,3
8006,-166
8007,-442
8008,-220
8009,149
8010,-164
8011,-518
8012,41
8013,455
8014,320
8015,230
8016,399
8017,288
8018,25
8019,36
8020,149
8021,40
8022,-317
8023,-45
8024,154
8025,-718
8026,-1123
8027,-903
8028,-610
8029,-537
8030,-607
8031,-731
8032,-1011
8033,-925
8034,-730
8035,-627
8036,-417
8037,87
8038,224
8039,-570
8040,-777
8041,24
8042,54
8043,-235
8044,-383
8045,-555
8046,-376
8047,-395
8048,-395
8049,-246
8050,-276
8051,-395
8052,-733
8053,-956
8054,-444
8055,-342
8056,-624
8057,-658
8058,-1020
8059,-1016
8060,-143
8061,-698
8062,-1700
8063,-1242
8064,-753
8065,-558
8066,-679
8067,-965
8068,-1105
8069,-1142
8070,-1064
8071,-1094
8072,-1040
8073,-895
8074,-703
8075,-815
8076,-842
8077,-379
8078,-239
8079,-547
8080,-742
8081,-336
8082,-232
8083,-431
8084,-396
8085,-469
8086,-411
8087,-308
8088,-189
8089,142
8090,261
8091,415
8092,713
8093,783
8094,982
8095,1216
8096,1219
8097,1420
8098,1285
8099,1153
8100,1493
8101,1544
8102,1439
8103,1088
8104,1079
8105,1116
8106,726
8107,661
8108,601
8109,506
8110,688
8111,685
8112,507
8113,429
8114,653
8115,914
8116,885
8117,1135
8118,1387
8119,1184
8120,1085
8121,1180
8122,1239
8123,1407
8124,1648
8125,1770
8126,1969
8127,2391
8128,2675
8129,2866
8130,3180
8131,3409
8132,3458
8133,3078
8134,2732
8135,2804
8136,2720
8137,2506
8138,2378
8139,2369
8140,2402
8141,2143
8142,1738
8143,1569
8144,1451
8145,1099
8146,932
8147,599
8148,194
8149,25
8150,-327
8151,-532
8152,-782
8153,-1039
8154,-1167
8155,-1608
8156,-1978
8157,-1897
8158,-1950
8159,-2105
8160,-2092
8161,-2165
8162,-2160
8163,-2093
8164,-1937
8165,-1772
8166,-1823
8167,-1807
8168,-1893
8169,-1999
8170,-2157
8171,-2253
8172,-2151
8173,-2140
8174,-2053
8175,-1982
8176,-2007
8177,-1850
8178,-1871
8179,-1929
8180,-1789
8181,-1898
8182,-1892
8183,-1899
8184,-1988
8185,-1922
8186,-2010
8187,-1792
8188,-1401
8189,-1103
8190,-684
8191,-138
8192,244
8193,640
8194,1183
8195,1606
8196,2036
8197,2476
8198,2635
8199,2825
8200,2943
8201,2864
8202,2742
8203,2539
8204,2210
8205,1783
8206,1964
8207,2571
8208,2767
8209,2648
8210,2538
8211,2347
8212,1957
8213,1610
8214,1863
8215,2926
8216,4250
8217,5134
8218,5122
8219,4332
8220,2828
8221,1431
8222,908
8223,538
8224,-228
8225,-1716
8226,-3682
8227,-5427
8228,-6828
8229,-8058
8230,-9155
8231,-10150
8232,-10782
8233,-11124
8234,-11307
8235,-11231
8236,-10927
8237,-10466
8238,-10031
8239,-9619
8240,-9296
8241,-8982
8242,-8304
8243,-7421
8244,-6709
8245,-5917
8246,-4997
8247,-4235
8248,-3565
8249,-2778
8250,-2101
8251,-1514
8252,-765
8253,-68
8254,414
8255,1027
8256,1565
8257,2255
8258,2891
8259,3049
8260,3133
8261,3143
8262,3135
8263,3394
8264,3905
8265,4482
8266,4761
8267,4483
8268,3701
8269,3129
8270,2785
8271,2027
8272,1323
8273,658
8274,-382
8275,-1604
8276,-2574
8277,-3187
8278,-3613
8279,-3556
8280,-3296
8281,-3358
8282,-3214
8283,-2375
8284,-540
8285,1097
8286,2292
8287,3799
8288,5416
8289,6736
8290,7794
8291,8552
8292,8603
8293,8285
8294,8036
8295,7853
8296,7663
8297,8034
8298,9157
8299,10927
8300,13049
8301,14255
8302,14567
8303,13969
8304,11945
8305,8704
8306,3999
8307,-654
8308,-2824
8309,-2595
8310,-1126
8311,-144
8312,-1463
8313,-4371
8314,-5201
8315,-2030
8316,3073
8317,6492
8318,5919
8319,2149
8320,-2414
8321,-6143
8322,-8027
8323,-8877
8324,-9543
8325,-10051
8326,-11025
8327,-12365
8328,-13369
8329,-14304
8330,-15382
8331,-16478
8332,-17638
8333,-18374
8334,-18488
8335,-17969
8336,-17271
8337,-16239
8338,-14540
8339,-12881
8340,-10786
8341,-8316
8342,-5704
8343,-3165
8344,-907
8345,1299
8346,3467
8347,5342
8348,6627
8349,7627
8350,8427
8351,8983
8352,9672
8353,10443
8354,11089
8355,11579
8356,11884
8357,12059
8358,11931
8359,11608
8360,11318
8361,10910
8362,10367
8363,10033
8364,9714
8365,9089
8366,8473
8367,7840
8368,7068
8369,6319
8370,5527
8371,4633
8372,3817
8373,2803
8374,1734
8375,738
8376,-271
8377,-1067
8378,-1775
8379,-2652
8380,-3549
8381,-4273
8382,-5120
8383,-6086
8384,-6714
8385,-7550
8386,-8514
8387,-8880
8388,-9216
8389,-9630
8390,-9746
8391,-9767
8392,-9678
8393,-9531
8394,-9168
8395,-8629
8396,-8317
8397,-7837
8398,-7244
8399,-6530
8400,-5918
8401,-5444
8402,-4535
8403,-3670
8404,-2595
8405,-1553
8406,-769
8407,46
8408,638
8409,1166
8410,1668
8411,1952
8412,2276
8413,2642
8414,2677
8415,2627
8416,2594
8417,2427
8418,2272
8419,1999
8420,2211
8421,2541
8422,2465
8423,2251
8424,2366
8425,2630
8426,2786
8427,3130
8428,3503
8429,3796
8430,4234
8431,4474
8432,4827
8433,5316
8434,5683
8435,5922
8436,5940
8437,6055
8438,6150
8439,6090
8440,6085
8441,6088
8442,6107
8443,5954
8444,5651
8445,5265
8446,4781
8447,4391
8448,4151
8449,3841
8450,3480
8451,3329
8452,3415
8453,3376
8454,3466
8455,3633
8456,3821
8457,4095
8458,4103
8459,4009
8460,4061
8461,4158
8462,4188
8463,4073
8464,4219
8465,4078
8466,3546
8467,3529
8468,3489
8469,3342
8470,3193
8471,2499
8472,2244
8473,2186
8474,1350
8475,1003
8476,554
8477,-31
8478,-172
8479,-680
8480,-1044
8481,-1317
8482,-1728
8483,-1636
8484,-1648
8485,-1763
8486,-1512
8487,-1438
8488,-1530
8489,-1553
8490,-1596
8491,-1566
8492,-1563
8493,-1608
8494,-1378
8495,-1408
8496,-1369
8497,-669
8498,-206
8499,246
8500,1137
8501,1650
8502,1635
8503,1284
8504,796
8505,168
8506,-361
8507,-524
8508,-433
8509,-164
8510,6
8511,75
8512,-282
8513,-528
8514,-565
8515,-1033
8516,-1013
8517,-1125
8518,-1179
8519,-1091
8520,-1169
8521,-986
8522,-852
8523,-963
8524,-1164
8525,-1166
8526,-1210
8527,-1117
8528,-946
8529,-801
8530,-654
8531,-650
8532,-593
8533,-768
8534,-730
8535,-634
8536,-866
8537,-689
8538,-816
8539,-1240
8540,-1330
8541,-1619
8542,-1663
8543,-1664
8544,-1537
8545,-1385
8546,-1479
8547,-1347
8548,-1291
8549,-1118
8550,-1027
8551,-1061
8552,-944
8553,-881
8554,-888
8555,-787
8556,-1004
8557,-1032
8558,-841
8559,-1023
8560,-973
8561,-752
8562,-840
8563,-698
8564,-390
8565,-248
8566,-229
8567,-68
8568,220
8569,189
8570,-56
8571,-335
8572,-358
8573,-572
8574,-969
8575,-1394
8576,-1729
8577,-2084
8578,-2434
8579,-2389
8580,-2509
8581,-2677
8582,-2436
8583,-2410
8584,-2225
8585,-2099
8586,-2081
8587,-1735
8588,-1571
8589,-1368
8590,-1044
8591,-875
8592,-657
8593,-495
8594,-520
8595,-163
8596,202
8597,670
8598,908
8599,1211
8600,1455
8601,1491
8602,1669
8603,1600
8604,1522
8605,1238
8606,927
8607,662
8608,300
8609,209
8610,67
8611,-304
8612,-274
8613,-333
8614,-535
8615,-546
8616,-781
8617,-1168
8618,-1209
8619,-1410
8620,-1670
8621,-1572
8622,-1518
8623,-1442
8624,-986
8625,-720
8626,-527
8627,-11
8628,191
8629,446
8630,586
8631,321
8632,606
8633,944
8634,818
8635,621
8636,559
8637,585
8638,673
8639,694
8640,631
8641,375
8642,316
8643,76
8644,-140
8645,-181
8646,-487
8647,-540
8648,-670
8649,-765
8650,-839
8651,-814
8652,-622
8653,-508
8654,-204
8655,53
8656,207
8657,478
8658,560
8659,629
8660,764
8661,828
8662,836
8663,826
8664,837
8665,573
8666,556
8667,569
8668,512
8669,512
8670,417
8671,372
8672,465
8673,553
8674,490
8675,530
8676,533
8677,438
8678,435
8679,626
8680,689
8681,548
8682,756
8683,700
8684,655
8685,663
8686,478
8687,493
8688,502
8689,357
8690,164
8691,160
8692,-112
8693,-355
8694,-274
8695,-391
8696,-494
8697,-383
8698,-352
8699,-264
8700,-137
8701,-194
8702,-99
8703,88
8704,-10
8705,-11
8706,274
8707,321
8708,499
8709,833
8710,865
8711,1242
8712,1515
8713,1543
8714,1803
8715,1971
8716,1931
8717,1945
8718,1938
8719,2022
8720,1998
8721,1929
8722,2119
8723,2076
8724,2110
8725,2047
8726,1734
8727,1604
8728,1337
8729,1062
8730,700
8731,254
8732,55
8733,-248
8734,-617
8735,-816
8736,-994
8737,-982
8738,-1074
8739,-1138
8740,-819
8741,-823
8742,-865
8743,-595
8744,-550
8745,-435
8746,-482
8747,-492
8748,-373
8749,-412
8750,-431
8751,-540
8752,-316
8753,-225
8754,-225
8755,-259
8756,-372
8757,-160
8758,-21
8759,-199
8760,-232
8761,-290
8762,-226
8763,-220
8764,-328
8765,-224
8766,-248
8767,-166
8768,-115
8769,-23
8770,149
8771,88
8772,211
8773,320
8774,185
8775,97
8776,57
8777,58
8778,-15
8779,-103
8780,-185
8781,-396
8782,-625
8783,-767
8784,-972
8785,-1105
8786,-1024
8787,-1056
8788,-964
8789,-678
8790,-605
8791,-344
8792,-177
8793,-149
8794,67
8795,64
8796,-12
8797,72
8798,50
8799,128
8800,64
8801,-105
8802,-79
8803,-214
8804,-363
8805,-369
8806,-328
8807,-99
8808,-85
8809,-130
8810,-31
8811,-44
8812,29
8813,106
8814,73
8815,119
8816,131
8817,98
8818,52
8819,-18
8820,-212
8821,-225
8822,-242
8823,-219
8824,-178
8825,-148
8826,-211
8827,-167
8828,-151
8829,-169
8830,-190
8831,-495
8832,-417
8833,-271
8834,-447
8835,-339
8836,-202
8837,-301
8838,-261
8839,-223
8840,-222
8841,-191
8842,-178
8843,-89
8844,-95
8845,-223
8846,-288
8847,-299
8848,-364
8849,-291
8850,-406
8851,-557
8852,-501
8853,-628
8854,-759
8855,-787
8856,-868
8857,-897
8858,-944
8859,-943
8860,-912
8861,-815
8862,-865
8863,-741
8864,-548
8865,-619
8866,-503
8867,-442
8868,-545
8869,-311
8870,-375
8871,-457
8872,-241
8873,-182
8874,-97
8875,-87
8876,-133
8877,-120
8878,-243
8879,-230
8880,-93
8881,-183
8882,-189
8883,-99
8884,-127
8885,-215
8886,-308
8887,-343
8888,-203
8889,-101
8890,-232
8891,-246
8892,-154
8893,-255
8894,-399
8895,-469
8896,-575
8897,-587
8898,-647
8899,-828
8900,-941
8901,-983
8902,-952
8903,-1030
8904,-1088
8905,-1086
8906,-1178
8907,-1105
8908,-1087
8909,-1027
8910,-873
8911,-1003
8912,-970
8913,-846
8914,-818
8915,-726
8916,-683
8917,-532
8918,-426
8919,-301
8920,-272
8921,-207
8922,56
8923,44
8924,-62
8925,-52
8926,-168
8927,-203
8928,-83
8929,-85
8930,-167
8931,-49
8932,-110
8933,-241
8934,-206
8935,-436
8936,-605
8937,-582
8938,-752
8939,-939
8940,-900
8941,-1109
8942,-1153
8943,-1058
8944,-1261
8945,-1229
8946,-1073
8947,-987
8948,-855
8949,-686
8950,-507
8951,-301
8952,-128
8953,-42
8954,241
8955,483
8956,463
8957,690
8958,917
8959,965
8960,957
8961,961
8962,1276
8963,1404
8964,1425
8965,1381
8966,1424
8967,1597
8968,1592
8969,1701
8970,1713
8971,1683
8972,1746
8973,1415
8974,1078
8975,878
8976,883
8977,1171
8978,1033
8979,891
8980,907
8981,734
8982,645
8983,593
8984,422
8985,294
8986,228
8987,125
8988,59
8989,45
8990,-30
8991,-104
8992,-209
8993,-181
8994,-118
8995,-139
8996,-270
8997,-246
8998,-222
8999,-227
9000,-188
9001,-166
9002,-188
9003,-33
9004,136
9005,182
9006,334
9007,522
9008,742
9009,906
9010,1008
9011,1202
9012,1371
9013,1554
9014,1539
9015,1453
9016,1522
9017,1503
9018,1411
9019,1370
9020,1201
9021,1072
9022,1060
9023,837
9024,763
9025,774
9026,653
9027,659
9028,643
9029,665
9030,645
9031,386
9032,372
9033,385
9034,334
9035,179
9036,66
9037,55
9038,-57
9039,-140
9040,-439
9041,-514
9042,-548
9043,-736
9044,-935
9045,-921
9046,-863
9047,-934
9048,-898
9049,-895
9050,-936
9051,-1036
9052,-990
9053,-956
9054,-977
9055,-1069
9056,-1208
9057,-1133
9058,-1039
9059,-1204
9060,-1353
9061,-1292
9062,-1214
9063,-1271
9064,-1292
9065,-1310
9066,-1208
9067,-1110
9068,-1202
9069,-956
9070,-749
9071,-868
9072,-643
9073,-445
9074,-335
9075,-224
9076,-112
9077,195
9078,221
9079,206
9080,385
9081,372
9082,233
9083,476
9084,804
9085,733
9086,731
9087,797
9088,846
9089,808
9090,792
9091,794
9092,722
9093,562
9094,590
9095,533
9096,426
9097,471
9098,388
9099,208
9100,122
9101,-35
9102,-115
9103,-151
9104,-25
9105,-53
9106,-131
9107,-124
9108,-142
9109,120
9110,160
9111,107
9112,118
9113,67
9114,220
9115,293
9116,93
9117,197
9118,182
9119,-16
9120,-113
9121,-154
9122,-259
9123,-253
9124,-134
9125,-303
9126,-476
9127,-370
9128,-254
9129,-159
9130,-272
9131,-372
9132,-145
9133,-125
9134,-299
9135,-406
9136,-311
9137,-239
9138,-41
9139,116
9140,119
9141,-57
9142,-207
9143,54
9144,45
9145,-150
9146,117
9147,240
9148,73
9149,150
9150,238
9151,-105
9152,-291
9153,-6
9154,334
9155,773
9156,846
9157,634
9158,407
9159,119
9160,-285
9161,-516
9162,359
9163,767
9164,178
9165,-969
9166,-1517
9167,94
9168,1357
9169,1089
9170,441
9171,-67
9172,-65
9173,26
9174,-67
9175,-36
9176,-185
9177,-651
9178,-1167
9179,-1133
9180,-1093
9181,-1011
9182,-1240
9183,-1762
9184,-2017
9185,-2571
9186,-3403
9187,-3767
9188,-3777
9189,-4315
9190,-5301
9191,-5904
9192,-5721
9193,-4354
9194,-2177
9195,-27
9196,1289
9197,1263
9198,391
9199,-25
9200,283
9201,996
9202,3155
9203,5935
9204,7247
9205,8572
9206,10133
9207,11904
9208,13930
9209,15318
9210,16062
9211,16091
9212,15442
9213,14593
9214,13617
9215,11620
9216,8891
9217,6565
9218,4175
9219,1339
9220,-1137
9221,-3425
9222,-5654
9223,-7564
9224,-8270
9225,-8698
9226,-9054
9227,-8226
9228,-7722
9229,-7964
9230,-7586
9231,-7244
9232,-7458
9233,-7586
9234,-7943
9235,-8056
9236,-8005
9237,-8199
9238,-7976
9239,-7785
9240,-7812
9241,-6887
9242,-5857
9243,-5531
9244,-4466
9245,-2805
9246,-1251
9247,-110
9248,603
9249,1735
9250,2791
9251,3440
9252,3764
9253,3936
9254,4213
9255,4063
9256,3698
9257,3279
9258,2503
9259,2360
9260,2294
9261,2016
9262,2057
9263,1985
9264,2025
9265,2007
9266,1661
9267,1791
9268,1749
9269,1014
9270,419
9271,398
9272,365
9273,-60
9274,-607
9275,-1156
9276,-971
9277,-1175
9278,-1290
9279,-696
9280,-398
9281,-342
9282,-42
9283,511
9284,530
9285,813
9286,1538
9287,2151
9288,2537
9289,2564
9290,3180
9291,3748
9292,3846
9293,3992
9294,3965
9295,4153
9296,4580
9297,4406
9298,3875
9299,3814
9300,4046
9301,3848
9302,3609
9303,3320
9304,3014
9305,3166
9306,2846
9307,2401
9308,2242
9309,2108
9310,1727
9311,1266
9312,1135
9313,899
9314,401
9315,-18
9316,-373
9317,-726
9318,-751
9319,-688
9320,-885
9321,-1031
9322,-1135
9323,-1359
9324,-1317
9325,-1283
9326,-1436
9327,-1026
9328,-616
9329,-932
9330,-1820
9331,-3244
9332,-4798
9333,-6768
9334,-8484
9335,-9172
9336,-9670
9337,-10285
9338,-10883
9339,-11168
9340,-11026
9341,-10699
9342,-9814
9343,-8380
9344,-7020
9345,-5692
9346,-3870
9347,-1524
9348,150
9349,1372
9350,2711
9351,3989
9352,4770
9353,5077
9354,6100
9355,6603
9356,6351
9357,6804
9358,6751
9359,6166
9360,5920
9361,5568
9362,4893
9363,4319
9364,3995
9365,3776
9366,3439
9367,3097
9368,3059
9369,3184
9370,3292
9371,2962
9372,2915
9373,3025
9374,2870
9375,2722
9376,2318
9377,2188
9378,2353
9379,2242
9380,2191
9381,2007
9382,1613
9383,1333
9384,1263
9385,1107
9386,642
9387,499
9388,181
9389,-373
9390,-441
9391,-515
9392,-652
9393,-1078
9394,-1224
9395,-1078
9396,-1453
9397,-1539
9398,-1580
9399,-1782
9400,-1765
9401,-1739
9402,-1862
9403,-1838
9404,-1623
9405,-1890
9406,-1939
9407,-1607
9408,-1805
9409,-1834
9410,-1793
9411,-1850
9412,-1579
9413,-1497
9414,-1355
9415,-1112
9416,-1138
9417,-774
9418,-391
9419,-577
9420,-413
9421,63
9422,134
9423,291
9424,600
9425,757
9426,927
9427,1016
9428,987
9429,1234
9430,1394
9431,1401
9432,1492
9433,1466
9434,1496
9435,1568
9436,1436
9437,1349
9438,1524
9439,1447
9440,1121
9441,1000
9442,1058
9443,860
9444,733
9445,741
9446,666
9447,580
9448,473
9449,463
9450,397
9451,224
9452,283
9453,250
9454,88
9455,10
9456,-128
9457,-194
9458,-335
9459,-364
9460,-313
9461,-440
9462,-433
9463,-538
9464,-482
9465,-435
9466,-688
9467,-875
9468,-751
9469,-722
9470,-903
9471,-980
9472,-1067
9473,-1131
9474,-1109
9475,-1112
9476,-1191
9477,-1200
9478,-1144
9479,-1271
9480,-1357
9481,-1189
9482,-1108
9483,-1285
9484,-1204
9485,-1088
9486,-1201
9487,-1168
9488,-1090
9489,-926
9490,-893
9491,-916
9492,-754
9493,-925
9494,-933
9495,-611
9496,-824
9497,-947
9498,-665
9499,-739
9500,-834
9501,-735
9502,-688
9503,-579
9504,-525
9505,-572
9506,-637
9507,-593
9508,-610
9509,-633
9510,-570
9511,-738
9512,-606
9513,-481
9514,-648
9515,-672
9516,-747
9517,-833
9518,-791
9519,-808
9520,-900
9521,-845
9522,-811
9523,-979
9524,-936
9525,-838
9526,-999
9527,-939
9528,-933
9529,-1074
9530,-868
9531,-1027
9532,-1358
9533,-1223
9534,-1201
9535,-1298
9536,-1322
9537,-1162
9538,-1125
9539,-1063
9540,-1057
9541,-1091
9542,-940
9543,-924
9544,-921
9545,-941
9546,-1015
9547,-905
9548,-838
9549,-900
9550,-779
9551,-757
9552,-734
9553,-668
9554,-592
9555,-586
9556,-588
9557,-541
9558,-596
9559,-595
9560,-525
9561,-416
9562,-246
9563,-105
9564,24
9565,-51
9566,-218
9567,-123
9568,-134
9569,-145
9570,-332
9571,-212
9572,21
9573,-249
9574,-548
9575,-432
9576,-307
9577,-467
9578,-546
9579,-398
9580,-387
9581,-658
9582,-710
9583,-644
9584,-824
9585,-970
9586,-1061
9587,-1026
9588,-1148
9589,-1211
9590,-1280
9591,-1566
9592,-1475
9593,-1389
9594,-1589
9595,-1499
9596,-1421
9597,-1442
9598,-1470
9599,-1611
9600,-1517
9601,-1545
9602,-1579
9603,-1311
9604,-1345
9605,-1278
9606,-1278
9607,-1219
9608,-1134
9609,-1139
9610,-1052
9611,-1086
9612,-861
9613,-719
9614,-768
9615,-668
9616,-606
9617,-578
9618,-406
9619,-187
9620,-140
9621,-134
9622,-80
9623,84
9624,144
9625,119
9626,148
9627,280
9628,318
9629,351
9630,366
9631,272
9632,283
9633,275
9634,346
9635,217
9636,115
9637,115
9638,145
9639,313
9640,229
9641,-30
9642,223
9643,237
9644,-65
9645,56
9646,-72
9647,-242
9648,-127
9649,-172
9650,-177
9651,-205
9652,-163
9653,-124
9654,-24
9655,10
9656,3
9657,87
9658,158
9659,288
9660,28
9661,-50
9662,136
9663,67
9664,66
9665,37
9666,114
9667,275
9668,211
9669,176
9670,137
9671,-59
9672,-1
9673,54
9674,-6
9675,-16
9676,-163
9677,-249
9678,-219
9679,12
9680,19
9681,-95
9682,67
9683,135
9684,262
9685,275
9686,22
9687,297
9688,236
9689,111
9690,348
9691,170
9692,288
9693,360
9694,194
9695,410
9696,291
9697,195
9698,431
9699,401
9700,399
9701,626
9702,659
9703,670
9704,738
9705,727
9706,840
9707,902
9708,833
9709,988
9710,1129
9711,999
9712,910
9713,999
9714,1180
9715,1176
9716,980
9717,976
9718,894
9719,710
9720,656
9721,639
9722,504
9723,280
9724,264
9725,411
